Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2019 [YR2019]
Afghanistan,AFG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..
Albania,ALB,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,27.0693224620319,30.9361224858484
Algeria,DZA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,20.5281416810455,20.407941949491
American Samoa,ASM,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,63.5958395245171,61.6692426584235
Andorra,AND,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..
Angola,AGO,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,26.1489317124585,37.1603311244083
Antigua and Barbuda,ATG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,70.7044967935257,69.1646948026456
Argentina,ARG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,10.7056520504538,17.9248783778462
Armenia,ARM,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,29.7253912120334,42.2626073502911
Aruba,ABW,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,70.3217227986333,66.7217875421583
Australia,AUS,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,19.9846454503255,24.0624800210722
Austria,AUT,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,53.3960122723239,55.8958073929339
Azerbaijan,AZE,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,37.7947774917249,49.0506275016423
"Bahamas, The",BHS,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,35.8315874839494,34.9807938540333
Bahrain,BHR,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,79.3441035722346,73.0944239873751
Bangladesh,BGD,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,17.3366737865485,13.0947573353039
Barbados,BRB,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..
Belarus,BLR,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,58.0107665670743,65.0945839929757
Belgium,BEL,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,77.8777392199991,82.9674275396401
Belize,BLZ,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,51.5667685462712,52.0189198848801
Benin,BEN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,24.7204512110389,29.6305271935478
Bermuda,BMU,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,49.9708394613543,51.7434243981752
Bhutan,BTN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,31.5360910045004,31.4575032617598
Bolivia,BOL,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,30.8682960291245,20.0474399352249
Bosnia and Herzegovina,BIH,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,35.1148767232101,40.040069270151
Botswana,BWA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,53.0908973428197,37.0878176552067
Brazil,BRA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,12.9001914186486,14.1229191909095
British Virgin Islands,VGB,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..
Brunei Darussalam,BRN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,52.2130112286937,57.946040538108
Bulgaria,BGR,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,63.7864172382015,64.3005878621409
Burkina Faso,BFA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,26.1076455357024,29.2576956572794
Burundi,BDI,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..
Cabo Verde,CPV,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,41.1352016327173,46.7050331370949
Cambodia,KHM,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,55.9812203124044,55.4468679729119
Cameroon,CMR,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,20.9891496295315,19.8500907473186
Canada,CAN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,31.8499609634443,32.3526958202565
Cayman Islands,CYM,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,69.4710256634634
Central African Republic,CAF,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,17.0676606236635,15.7553800018083
Chad,TCD,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,27.9084800637597,24.968456965958
Channel Islands,CHI,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..
Chile,CHL,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,29.1910794903324,27.8746677570512
China,CHN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,20.9390642234326,18.0557069597496
Colombia,COL,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,15.6502115094968,15.8680386541241
Comoros,COM,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,10.1361983069761,12.7734606403663
"Congo, Dem. Rep.",COD,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,26.0071219054555,28.4657291929772
"Congo, Rep.",COG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,40.8570487934502,56.1988143702835
Costa Rica,CRI,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,29.9956578647983,34.3253215593308
Cote d'Ivoire,CIV,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,27.3553887828515,22.6604887650452
Croatia,HRV,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,45.4311091839526,50.4918641373337
Cuba,CUB,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,17.1473888133975,12.2133743797594
Curacao,CUW,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,68.4941165656232,..
Cyprus,CYP,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,70.0173031293258,75.7588676037208
Czechia,CZE,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,80.0125671431762,72.1248511386482
Denmark,DNK,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,55.8143215733858,58.9506079167167
Djibouti,DJI,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,145.421307480105,166.717864481384
Dominica,DMA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..
Dominican Republic,DOM,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,24.0368347236543,23.325332586795
Ecuador,ECU,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,22.754485726599,24.0486345985713
